ENSG,TPM1,TPM2,TPM3,TPM4,TPM5,TPM6,TPM7,TPM8,TPM9,TPM10,TPM11,TPM12
ENSG00000005175 ,13.411034,1.360065,0.210266,0.154199,,,,,,,,
ENSG00000005700 ,5.631616,0.360797,0.326936,,,,,,,,,
ENSG00000010244 ,185.498108,5.466049,0.757623,0.637828,0.048838,,,,,,,
ENSG00000023287 ,0.283787,,,,,,,,,,,
ENSG00000023734 ,322.753632,0.115705,0.025106,0.01516,0.002378,,,,,,,
ENSG00000057663 ,9.215343,4.387046,3.564348,0.087753,,,,,,,,
ENSG00000064933 ,8.79264,,,,,,,,,,,
ENSG00000075292 ,25.282856,2.380473,2.027163,1.430554,0.182094,0.049863,0.025853,,,,,
ENSG00000077097 ,64.550179,0.218651,0.020166,,,,,,,,,
ENSG00000077232 ,5.747829,1.555806,0.176131,0.064541,,,,,,,,
ENSG00000077254 ,11.239137,7.903219,0.349052,0.342307,0.324017,0.323692,0.269179,0.207923,0.152071,0.146023,0.070586,0.006654
ENSG00000078674 ,3.788908,0.564845,0.424908,0.397528,0.358102,0.314425,0.295244,0.275871,0.186834,4.70E-05,,
ENSG00000082898 ,101.693932,1.338406,0.854324,0.70406,0.310484,0.246836,0.155579,0.138615,0.136217,0.111623,0.061153,0.040863
ENSG00000083544 ,4.032841,1.286148,0.256388,0.035518,0.001877,,,,,,,
ENSG00000083937 ,41.630589,0.009702,,,,,,,,,,
ENSG00000087502 ,19.955753,0.014427,0.001089,,,,,,,,,
ENSG00000091140 ,68.344315,0.333146,0.170944,0.156254,0.001039,,,,,,,
ENSG00000092108 ,17.008789,2.04832,1.295453,0.6982,0.454296,0.342014,0.187907,0.106291,0.101316,0.069035,0.01731,
ENSG00000100522 ,32.146481,0.008126,,,,,,,,,,
ENSG00000100567 ,129.373779,0.351997,0.307491,0.186981,0.185148,0.096787,0.004764,0.004352,,,,
ENSG00000100852 ,9.512719,3.486403,0.005094,,,,,,,,,
ENSG00000100883 ,64.839546,0.323191,0.255254,0.109648,0.03537,0.018709,0.001782,,,,,
ENSG00000104047 ,0.86334,,,,,,,,,,,
ENSG00000104064 ,16.399137,0.621461,0.377748,0.047176,0.001067,0.000635,0.000227,,,,,
ENSG00000104320 ,20.447645,0.392812,0.175478,0.054716,,,,,,,,
ENSG00000104343 ,7.806552,1.079828,0.685086,,,,,,,,,
ENSG00000105821 ,52.303944,0.24273,0.11122,0.09137,0.073808,0.031719,0.025004,,,,,
ENSG00000106392 ,4.083878,0.515429,0.379676,0.009145,,,,,,,,
ENSG00000108510 ,3.714573,0.650493,0.156648,0.006139,,,,,,,,
ENSG00000109180 ,78.304047,33.777302,2.203395,0.29121,0.264491,0.245841,0.107863,0.049673,0.020986,0.004836,,
ENSG00000110958 ,792.61084,0.310138,0.004662,,,,,,,,,
ENSG00000111142 ,119.013161,0.696091,0.321627,0.039282,0.03428,0.00459,,,,,,
ENSG00000111605 ,38.813675,0.493274,,,,,,,,,,
ENSG00000111647 ,0.109878,,,,,,,,,,,
ENSG00000112701 ,1.899976,0.31774,0.252311,0.001194,,,,,,,,
ENSG00000114354 ,99.757507,0.02689,0.0062,0.001813,,,,,,,,
ENSG00000117475 ,16.396938,0.195853,0.171547,,,,,,,,,
ENSG00000118418 ,102.343102,,,,,,,,,,,
ENSG00000120688 ,9.865075,,,,,,,,,,,
ENSG00000120837 ,16.433714,0.201287,,,,,,,,,,
ENSG00000122008 ,5.467986,0.093622,0.031521,0.005126,3.30E-05,,,,,,,
ENSG00000122376 ,18.419733,0.067296,,,,,,,,,,
ENSG00000122565 ,203.437485,1.350803,0.809724,0.131917,0.026632,0.000593,,,,,,
ENSG00000122566 ,1912.687256,4.095041,3.094464,2.261545,0.846074,0.243889,,,,,,
ENSG00000122643 ,6.87761,0.827243,0.480104,0.033178,,,,,,,,
ENSG00000122958 ,79.924767,,,,,,,,,,,
ENSG00000123124 ,3.538291,0.03566,,,,,,,,,,
ENSG00000125629 ,4.190799,0.321577,0.013471,,,,,,,,,
ENSG00000127914 ,0.730173,0.331856,0.264026,0.217007,,,,,,,,
ENSG00000128915 ,10.120255,0.380242,0.251555,0.144052,0.084109,,,,,,,
ENSG00000129084 ,109.760651,3.210793,2.080803,0.59058,0.545373,0.08176,0.078889,0.018078,,,,
ENSG00000129515 ,39.824352,2.389376,0.179505,0.098856,,,,,,,,
ENSG00000135241 ,0.380839,,,,,,,,,,,
ENSG00000136381 ,38.503971,0.061449,0.00353,0.001882,,,,,,,,
ENSG00000136536 ,10.474301,,,,,,,,,,,
ENSG00000137871 ,1.310809,0.109148,,,,,,,,,,
ENSG00000138035 ,0.707522,,,,,,,,,,,
ENSG00000138081 ,9.627438,0.227813,0.180073,0.0991,,,,,,,,
ENSG00000138381 ,30.1485,4.012024,1.83279,0.007922,0.006644,,,,,,,
ENSG00000138385 ,155.744949,18.997395,0.521306,0.518615,0.433589,0.243878,0.073332,0.042138,0.009284,,,
ENSG00000139218 ,6.541718,1.320398,0.696891,0.166478,0.110657,,,,,,,
ENSG00000139726 ,0.310966,,,,,,,,,,,
ENSG00000140006 ,0.686762,,,,,,,,,,,
ENSG00000142188 ,17.921875,0.210863,0.061016,0.00043,,,,,,,,
ENSG00000144306 ,13.152223,1.789543,0.373439,0.029579,,,,,,,,
ENSG00000144320 ,0.422318,0.016649,,,,,,,,,,
ENSG00000144566 ,49.823357,0.312194,0.170138,,,,,,,,,
ENSG00000146085 ,12.146308,,,,,,,,,,,
ENSG00000147274 ,28.894312,4.984624,0.072255,0.000665,,,,,,,,
ENSG00000147687 ,23.220741,0.324657,0.025191,0.023353,0.018959,0.007228,0.001353,0.001207,0.000196,,,
ENSG00000148690 ,6.604139,0.26724,0.26459,,,,,,,,,
