ENSG,TPM1,TPM2,TPM3,TPM4,TPM5,TPM6,TPM7,TPM8,TPM9,TPM10,TPM11,TPM12,TPM13,TPM14,TPM15,TPM16,TPM17,TPM18,TPM19,TPM20,TPM21,TPM22,TPM23,TPM24,TPM25,TPM26
ENSG00000005882 ,13.512925,0.552708,0.287141,0.163149,0.12703,0.019535,0.000618,,,,,,,,,,,,,,,,,,,
ENSG00000040487 ,15.653723,0.783981,0.328173,0.004629,0.003856,,,,,,,,,,,,,,,,,,,,,
ENSG00000071655 ,58.908478,0.5105,0.293413,0.242111,0.046029,0.00406,0.002811,,,,,,,,,,,,,,,,,,,
ENSG00000072958 ,23.681145,4.151575,0.412675,0.259185,0.190372,0.157778,0.137874,0.037039,,,,,,,,,,,,,,,,,,
ENSG00000077463 ,5.341988,1.220399,0.244007,0.241775,0.23629,0.024179,0.022052,0.005043,0.00107,0.001055,0.000999,,,,,,,,,,,,,,,
ENSG00000078902 ,13.6643,0.00117,0.001158,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000086504 ,70.960419,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000091542 ,116.80555,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000099795 ,229.799118,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000099797 ,71.490387,17.470715,2.702323,0.557308,0.376398,0.017202,0.013014,0.009632,0.008925,0.004599,0.00394,0.001719,,,,,,,,,,,,,,
ENSG00000099817 ,102.347626,0.335311,0.136809,0.074209,0.057051,0.016397,0.005429,0.000496,,,,,,,,,,,,,,,,,,
ENSG00000100605 ,14.118482,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000101439 ,155.017014,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000103024 ,20.714096,0.135528,0.132549,0.016265,0.008209,0.0059,0.001885,0.000775,,,,,,,,,,,,,,,,,,
ENSG00000103260 ,5.331344,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000103266 ,218.764023,8.466488,6.327071,2.858614,2.56106,1.684741,1.496648,1.000121,0.802584,,,,,,,,,,,,,,,,,
ENSG00000104866 ,7.394925,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000104886 ,95.508942,0.304711,0.018219,0.008231,0.004629,0.004623,0.00109,0.00069,0.000394,,,,,,,,,,,,,,,,,
ENSG00000104960 ,153.439926,16.072142,9.257838,7.795292,3.557728,1.224763,0.754927,0.731654,0.515993,0.274502,0.106726,0.015432,0.011751,0.011256,0.00621,,,,,,,,,,,
ENSG00000105401 ,263.495087,0.556213,0.300928,0.237448,0.207469,0.028381,,,,,,,,,,,,,,,,,,,,
ENSG00000105700 ,64.383194,15.005232,14.804993,1.111301,0.083916,0.018954,0.007158,,,,,,,,,,,,,,,,,,,
ENSG00000110717 ,10.809611,0.215597,0.161395,0.057167,0.041988,0.037861,,,,,,,,,,,,,,,,,,,,
ENSG00000115286 ,44.434181,1.994048,0.537654,0.042801,0.024699,0.020989,0.019011,0.014065,0.010564,0.004218,0.003898,,,,,,,,,,,,,,,
ENSG00000116649 ,414.057861,11.97511,0.685174,0.316022,0.006361,,,,,,,,,,,,,,,,,,,,,
ENSG00000117984 ,108.206017,0.11556,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000122490 ,12.472786,3.369056,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000123933 ,37.359711,0.235976,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000125741 ,11.093186,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000125901 ,180.419693,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000125912 ,54.555256,0.274777,0.00539,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000126243 ,18.470701,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000126457 ,360.719971,1.33057,0.811499,0.702703,0.441971,0.061903,0.024268,0.002044,,,,,,,,,,,,,,,,,,
ENSG00000127445 ,142.252396,0.561501,0.549373,0.244223,,,,,,,,,,,,,,,,,,,,,,
ENSG00000127580 ,5.359615,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000129932 ,23.578156,0.666697,0.188254,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000129968 ,30.725716,0.339355,0.256687,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000130382 ,36.864784,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000130522 ,75.404709,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000131165 ,43.643559,0.847104,0.32662,0.092939,0.077528,0.044195,0.003905,,,,,,,,,,,,,,,,,,,
ENSG00000131669 ,15.500832,0.191796,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000133243 ,67.344154,0.352836,0.250721,0.204198,0.200145,0.051796,,,,,,,,,,,,,,,,,,,,
ENSG00000135686 ,0.389648,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000136213 ,2.123515,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000136720 ,25.472466,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000136802 ,29.747316,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000141522 ,416.374908,92.1437,35.452919,0.680965,0.475985,0.421627,0.362515,0.311166,0.219186,0.018427,0.002771,0.001414,,,,,,,,,,,,,,
ENSG00000141873 ,29.470594,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000141933 ,13.699567,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000142409 ,31.309088,0.066869,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000143774 ,221.05304,26.18203,23.111368,17.67762,5.942168,3.163879,2.667299,0.873569,0.429752,0.397243,0.329779,0.27338,0.098069,0.056585,0.050103,0.047848,0.031114,0.023546,0.020927,0.0197,0.019272,0.007528,0.006492,0.004541,0.001682,0.001322
ENSG00000143878 ,69.030396,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000145945 ,0.037336,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000146676 ,18.343361,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000147119 ,7.561351,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000148411 ,11.754825,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000152082 ,186.767029,2.581659,0.12519,0.09413,0.008183,,,,,,,,,,,,,,,,,,,,,
ENSG00000153487 ,7.611963,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000157350 ,9.213737,0.106461,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000159069 ,73.92778,0.495802,0.358604,0.168967,0.000665,,,,,,,,,,,,,,,,,,,,,
ENSG00000160226 ,6.794685,0.221362,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000160877 ,49.693871,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000161091 ,15.693073,9.756672,6.693185,0.482467,0.354344,0.312724,0.120197,,,,,,,,,,,,,,,,,,,
ENSG00000164880 ,29.107634,0.251159,0.190063,0.070846,,,,,,,,,,,,,,,,,,,,,,
ENSG00000167136 ,33.596233,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000167658 ,800.558289,0.532412,0.498534,0.391973,,,,,,,,,,,,,,,,,,,,,,
ENSG00000167671 ,32.114082,2.206989,0.656613,0.491045,0.239675,0.143213,,,,,,,,,,,,,,,,,,,,
ENSG00000167685 ,45.08231,0.343514,0.014133,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000168159 ,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000171206 ,0.297891,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000172270 ,531.685425,25.911919,6.558038,1.222941,0.401335,0.125354,0.003777,0.000662,0.00048,,,,,,,,,,,,,,,,,
ENSG00000172663 ,1.652647,0.470574,0.289511,0.274623,0.270795,0.121226,0.036186,0.033366,0.02847,0.010915,0.010442,0.001212,0.000599,,,,,,,,,,,,,
ENSG00000173272 ,153.970749,1.007055,0.659237,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000175221 ,20.46949,1.028189,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000176022 ,54.930382,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000177169 ,18.450535,0.596421,0.286518,0.122643,0.024835,0.012754,,,,,,,,,,,,,,,,,,,,
ENSG00000178951 ,10.652144,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000179010 ,178.121597,2.035782,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000179886,8.401478,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000179943 ,5.108189,0.30961,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000180596 ,5.636743,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000181027 ,17.371176,0.286167,0.028566,0.000162,0.000124,,,,,,,,,,,,,,,,,,,,,
ENSG00000181029 ,4.935857,0.435416,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000181915,33.57016,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000182087 ,97.405067,2.298525,0.365743,0.282143,0.252786,0.192103,0.134779,0.062626,,,,,,,,,,,,,,,,,,
ENSG00000182154 ,106.585098,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000184207 ,31.498501,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000184897 ,251.819,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000184900 ,76.939743,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000185129 ,8.532694,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000185236 ,54.800564,0.497256,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000185883 ,322.870422,0.897275,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000186350 ,10.806314,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000187051 ,52.551449,0.252788,0.224507,0.045492,0.031301,,,,,,,,,,,,,,,,,,,,,
ENSG00000188486 ,314.106506,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000189114 ,12.94607,0.551716,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000197562 ,19.337008,0.150959,0.013582,1.00E-06,,,,,,,,,,,,,,,,,,,,,,
ENSG00000203950 ,103.311852,22.421194,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000213015 ,68.348351,0.895862,0.02604,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000213563 ,8.790578,0.728554,0.007085,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000214022 ,43.459713,14.186037,8.184268,2.627709,1.551766,1.427891,0.184975,0.034642,,,,,,,,,,,,,,,,,,
ENSG00000214309 ,2.450892,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000224051 ,26.068233,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000238158 ,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000238227 ,53.263386,0.476342,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000240972 ,883.622253,0.947983,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000247315 ,49.719913,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000250571 ,4.860067,0.269203,0.000706,0.000394,,,,,,,,,,,,,,,,,,,,,,
ENSG00000254402 ,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000254901 ,8.531376,0.506891,0.187329,0.127663,0.104412,0.076976,,,,,,,,,,,,,,,,,,,,
ENSG00000261221 ,10.652662,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000274768 ,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000274958 ,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000276701 ,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000277972 ,13.639697,1.920327,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000278016 ,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000282092 ,,,,,,,,,,,,,,,,,,,,,,,,,,
ENSG00000285426 ,,,,,,,,,,,,,,,,,,,,,,,,,,
