ENSG,TPM1,TPM2,TPM3,TPM4,TPM5,TPM6,TPM7,TPM8,TPM9,TPM10,TPM11,TPM12,TPM13,TPM14,TPM15,TPM16,TPM17,TPM18,TPM19,TPM20,TPM21,TPM22,TPM23
ENSG00000005882 ,10.61953,0.78664,0.360752,0.248267,0.190249,0.047811,0.027877,,,,,,,,,,,,,,,,
ENSG00000040487 ,7.75312,2.635961,0.427162,,,,,,,,,,,,,,,,,,,,
ENSG00000071655 ,105.516724,0.110731,0.079376,0.040377,0.003865,0.003255,,,,,,,,,,,,,,,,,
ENSG00000072958 ,19.580168,4.656332,0.359316,0.251301,0.222031,0.102306,0.055557,,,,,,,,,,,,,,,,
ENSG00000077463 ,5.37502,1.115732,0.242187,0.045404,0.043227,0.029006,0.010573,0.004733,,,,,,,,,,,,,,,
ENSG00000078902 ,10.175268,0.001828,0.001699,,,,,,,,,,,,,,,,,,,,
ENSG00000086504 ,88.101952,9.130007,,,,,,,,,,,,,,,,,,,,,
ENSG00000091542 ,106.775627,,,,,,,,,,,,,,,,,,,,,,
ENSG00000099795 ,264.720215,,,,,,,,,,,,,,,,,,,,,,
ENSG00000099797 ,83.194984,7.846965,4.236112,0.546815,0.298255,0.043376,0.042753,0.028063,0.004719,0.004287,,,,,,,,,,,,,
ENSG00000099817 ,137.203247,0.351972,0.189398,0.077667,0.032378,0.000417,,,,,,,,,,,,,,,,,
ENSG00000100605 ,11.914298,,,,,,,,,,,,,,,,,,,,,,
ENSG00000101439 ,151.413773,,,,,,,,,,,,,,,,,,,,,,
ENSG00000103024 ,16.431778,0.826409,0.438874,0.150868,0.057291,0.010069,0.007033,0.002807,,,,,,,,,,,,,,,
ENSG00000103260 ,4.278309,,,,,,,,,,,,,,,,,,,,,,
ENSG00000103266 ,265.998627,4.660793,4.019788,3.276618,2.334864,1.248953,1.027918,0.749577,0.003566,,,,,,,,,,,,,,
ENSG00000104866 ,6.785054,1.98065,1.119765,,,,,,,,,,,,,,,,,,,,
ENSG00000104886 ,121.378387,0.541306,0.360043,0.354952,0.01988,0.005614,0.001354,0.000429,,,,,,,,,,,,,,,
ENSG00000104960 ,86.505684,34.195362,21.296926,17.295729,3.750812,2.244662,1.494952,1.238099,0.247348,0.017158,0.007043,,,,,,,,,,,,
ENSG00000105401 ,220.966949,0.701483,0.486076,0.439256,0.321419,,,,,,,,,,,,,,,,,,
ENSG00000105700 ,60.116512,18.766287,9.854872,4.12811,0.106221,0.068736,0.020673,0.00626,,,,,,,,,,,,,,,
ENSG00000110717 ,9.935098,0.481125,0.297233,0.04955,0.034689,,,,,,,,,,,,,,,,,,
ENSG00000115286 ,124.209946,1.112474,0.036969,0.028875,0.009077,,,,,,,,,,,,,,,,,,
ENSG00000116649 ,519.852295,0.339473,0.164017,0.002925,,,,,,,,,,,,,,,,,,,
ENSG00000117984 ,67.830215,0.470685,9.50E-05,,,,,,,,,,,,,,,,,,,,
ENSG00000122490 ,13.307422,2.307817,0.339603,0.208714,,,,,,,,,,,,,,,,,,,
ENSG00000123933 ,42.223534,0.372913,,,,,,,,,,,,,,,,,,,,,
ENSG00000125741 ,12.001896,,,,,,,,,,,,,,,,,,,,,,
ENSG00000125901 ,199.810883,,,,,,,,,,,,,,,,,,,,,,
ENSG00000125912 ,44.949032,,,,,,,,,,,,,,,,,,,,,,
ENSG00000126243 ,19.106636,,,,,,,,,,,,,,,,,,,,,,
ENSG00000126457 ,41.57148,1.385219,0.955877,0.251065,0.02801,0.016104,,,,,,,,,,,,,,,,,
ENSG00000127445 ,60.488834,6.676554,0.595041,0.254051,,,,,,,,,,,,,,,,,,,
ENSG00000127580 ,3.649232,,,,,,,,,,,,,,,,,,,,,,
ENSG00000129932 ,15.012564,1.253859,0.198363,,,,,,,,,,,,,,,,,,,,
ENSG00000129968 ,30.721708,,,,,,,,,,,,,,,,,,,,,,
ENSG00000130382,33.468815,,,,,,,,,,,,,,,,,,,,,,
ENSG00000130522 ,61.082726,,,,,,,,,,,,,,,,,,,,,,
ENSG00000131165 ,47.804226,0.328353,0.113784,0.111464,0.073009,0.02335,0.005587,,,,,,,,,,,,,,,,
ENSG00000131669 ,13.652866,0.160115,0.032623,,,,,,,,,,,,,,,,,,,,
ENSG00000133243 ,62.927879,0.291607,0.290961,0.286824,0.168258,0.021313,,,,,,,,,,,,,,,,,
ENSG00000135686 ,0.469849,,,,,,,,,,,,,,,,,,,,,,
ENSG00000136213 ,1.364494,,,,,,,,,,,,,,,,,,,,,,
ENSG00000136720 ,,,,,,,,,,,,,,,,,,,,,,,
