Num. Eigenval.   R.Iner.  R.Sum
01 1.3089E-01 0.3996 0.3996
02 1.2539E-02 0.0383 0.4378
03 9.8820E-03 0.0302 0.4680
04 8.2310E-03 0.0251 0.4931
05 7.4046E-03 0.0226 0.5157
06 7.2433E-03 0.0221 0.5378
07 7.0076E-03 0.0214 0.5592
08 6.3449E-03 0.0194 0.5786
09 6.1046E-03 0.0186 0.5972
10 6.0190E-03 0.0184 0.6156
11 5.8435E-03 0.0178 0.6334
12 5.6474E-03 0.0172 0.6507
13 5.5043E-03 0.0168 0.6675
14 5.3103E-03 0.0162 0.6837
15 5.0830E-03 0.0155 0.6992
16 5.0299E-03 0.0154 0.7146
17 4.9382E-03 0.0151 0.7296
18 4.7023E-03 0.0144 0.7440
19 4.6165E-03 0.0141 0.7581
20 4.4646E-03 0.0136 0.7717
21 4.3772E-03 0.0134 0.7851
22 4.3558E-03 0.0133 0.7984
23 4.2942E-03 0.0131 0.8115
24 4.1268E-03 0.0126 0.8241
25 4.1163E-03 0.0126 0.8366
26 3.9990E-03 0.0122 0.8488
27 3.9612E-03 0.0121 0.8609
28 3.8159E-03 0.0116 0.8726
29 3.7937E-03 0.0116 0.8842
30 3.5980E-03 0.0110 0.8951
31 3.4600E-03 0.0106 0.9057
32 3.4448E-03 0.0105 0.9162
33 3.2903E-03 0.0100 0.9263
34 3.2433E-03 0.0099 0.9362
35 3.1156E-03 0.0095 0.9457
36 3.0430E-03 0.0093 0.9550
37 2.9559E-03 0.0090 0.9640
38 2.7787E-03 0.0085 0.9725
39 2.5324E-03 0.0077 0.9802
40 2.1203E-03 0.0065 0.9867
