GenBankNucleotideAccession	EnsemblGeneID
NM_000696	ENSG00000143149
NM_000993	ENSG00000071082
NM_001039613	ENSG00000134330
NM_001042697	ENSG00000214941
NM_001114118	ENSG00000074356
NM_001143909	ENSG00000235376
NM_001199816	ENSG00000006625
NM_001202547	ENSG00000258644
NM_001324	ENSG00000101138
NM_001664	ENSG00000067560
NM_001698	ENSG00000148090
NM_001724	ENSG00000172331
NM_001806	ENSG00000153879
NM_001892	ENSG00000113712
NM_002106	ENSG00000164032
NM_002138	ENSG00000138668
NM_002574	ENSG00000117450
NM_002592	ENSG00000132646
NM_002601	ENSG00000156973
NM_002793；	ENSG00000281184
NM_002793；	ENSG00000008018
NM_002857	ENSG00000162735
NM_003001	ENSG00000143252
NM_003079	ENSG00000073584
NM_003217	ENSG00000139644
NM_003344	ENSG00000186591
NM_003347	ENSG00000185651
NM_003404	ENSG00000166913
NM_003756	ENSG00000147677
NM_003795	ENSG00000112335
NM_004232	ENSG00000170677
NM_004450	ENSG00000100632
NM_004547	ENSG00000065518
NM_004589	ENSG00000133028
NM_004725	ENSG00000154473
NM_005015	ENSG00000155463
NM_005016	ENSG00000197111
NM_005104；	ENSG00000230678
NM_005104；	ENSG00000235307
NM_005104；	ENSG00000215077
NM_005104；	ENSG00000234704
NM_005104；	ENSG00000204256
NM_005104；	ENSG00000234507
NM_005104；	ENSG00000236227
NM_005389	ENSG00000120265
NM_005444	ENSG00000144580
NM_005644	ENSG00000120656
NM_005776	ENSG00000100528
NM_005926	ENSG00000140259
NM_006016	ENSG00000135535
NM_006191	ENSG00000170515
NM_006305	ENSG00000140350
NM_006824	ENSG00000117395
NM_012170	ENSG00000167196
NM_012179	ENSG00000100225
NM_014161	ENSG00000112110
NM_014184	ENSG00000143771
NM_014268	ENSG00000166974
NM_014367	ENSG00000114023
NM_014685	ENSG00000051108
NM_014805	ENSG00000178567
NM_015176	ENSG00000143756
NM_015251	ENSG00000166454
NM_015676;	ENSG00000153485
NM_015676;	ENSG00000275947
NM_015697	ENSG00000173085
NM_015907	ENSG00000002549
NM_016038	ENSG00000126524
NM_016065	ENSG00000182180
NM_016070	ENSG00000181610
NM_016099	ENSG00000147533
NM_016127	ENSG00000133872
NM_016142	ENSG00000149084
NM_016407	ENSG00000022277
NM_016410	ENSG00000086065
NM_016495	ENSG00000145979
NM_016640	ENSG00000112996
NM_017861	ENSG00000163964
NM_017875	ENSG00000144659
NM_018142	ENSG00000104613
NM_018196	ENSG00000185973
NM_018360	ENSG00000086712
NM_020143	ENSG00000115946
NM_021156	ENSG00000125827
NM_022100	ENSG00000120333
NM_022470	ENSG00000172667
NM_022786	ENSG00000173409
NM_022915	ENSG00000135900
NM_023929	ENSG00000205189
NM_024345	ENSG00000122741
NM_024595	ENSG00000174574
NM_025073	ENSG00000052723
NM_030579	ENSG00000103018
NM_030939	ENSG00000112308
NM_031903	ENSG00000106591
NM_031905;	ENSG00000282813
NM_031905;	ENSG00000170632
NM_032231	ENSG00000166797
NM_032314	ENSG00000110871
NM_032374	ENSG00000256053
NM_032476	ENSG00000243927
NM_032558	ENSG00000148110
NM_032796	ENSG00000169895
NM_052965	ENSG00000198860
NM_053023	ENSG00000186660
NM_053053	ENSG00000152382
NM_138423	ENSG00000166734
NM_138446	ENSG00000156928
NM_144636	ENSG00000163528
