label                     Axis1      Axis2      Axis3      Axis4 
NM_002873.1           0.53711   -0.09057   -0.04416   -0.04550
NM_000122.1          -0.12502    0.03830   -0.07098    0.01440
NM_012403.1           0.09251   -0.08148   -0.09418   -0.12345
NM_013393.1          -0.12836    0.02368   -0.19361   -0.03837
NM_006454.2          -0.66039   -0.14570    0.06329    0.08527
NM_021107.1          -0.51828    0.13145    0.09464    0.04198
NM_022170.1           0.14366   -0.07811   -0.00583    0.06068
NM_023936.1          -0.68264   -0.27443    0.10465   -0.01846
NM_024096.1          -0.25271    0.10943    0.09980   -0.01551
NM_024509.1         -0.66552   -0.01383    0.15467    0.11511
NM_032099.1         -0.09607   -0.04865    0.10633    0.00868
NM_001862.2         -0.15306   -0.06579   -0.02933    0.19607
NM_001010.2          0.17098    0.21330    0.13456    0.19947
NM_020135.2         -0.37130   -0.17558   -0.00850   -0.05233
NM_012245.2          0.39945    0.05114   -0.00163   -0.08537
NM_004180.2          0.50590   -0.15074   -0.02079    0.04388
NM_014203.2         -0.62643    0.01579    0.06822   -0.04778
NM_138446.1          0.05876   -0.12279    0.17185   -0.05468
NM_018180.2          0.30231   -0.04932   -0.01229    0.09168
NM_003526.2         -0.61873   -0.05455    0.32847    0.30987
NM_003926.5         -0.81022   -0.35724    0.09291    0.09342
NM_016649.3          0.53079   -0.07338    0.00043   -0.03431
NM_015956.2         -0.47032   -0.01797    0.01740   -0.14432
NM_024996.5          0.37765    0.02316   -0.00634   -0.01572
NM_032112.2         -0.59818   -0.22202    0.27796    0.12947
NM_020409.2          0.44073   -0.05946   -0.06769    0.02293
NM_016086.2         -0.15830    0.06790    0.00732    0.03451
NM_182523.1          0.50325   -0.11215   -0.16246    0.05950
NM_002592.2          0.06772    0.01672    0.12028    0.10344
NM_007013.3          0.57439   -0.07381    0.08956    0.06697
NM_145265.2          0.16203    0.03650   -0.06586    0.06336
NM_145914.2         -0.03504    0.02564   -0.15566    0.02889
NM_058167.2         -0.16429   -0.24681   -0.19905   -0.04848
NM_003422.2         -0.51773    0.00772    0.07605    0.07885
NM_002513.2         -0.78181   -0.22105    0.27421    0.10509
NM_015918.3         -0.03402    0.00752   -0.08406    0.05106
NM_003091.3          0.01211    0.15008   -0.11894    0.00705
NM_170607.2         -0.33396    0.03201   -0.12973    0.00559
NM_015966.2         -0.30583    0.04555   -0.03054   -0.08852
NM_004804.2         -0.27471    0.12921    0.17433    0.04127
NM_002869.4          0.25602   -0.05364    0.03025    0.06048
NM_004214.4         -0.52019   -0.06569    0.02006   -0.00811
NM_031953.2          0.27175   -0.10988   -0.10761    0.02495
NM_006402.2         -0.05917    0.03494    0.42640    0.14743
NM_018128.4          0.19829    0.03623   -0.01166   -0.01375
NM_001130.5         -0.43960   -0.00719   -0.09284    0.09600
NM_018366.2         -0.70429   -0.26424    0.01028    0.06844
NM_004637.5         -0.06317   -0.02647   -0.20420   -0.07201
NM_080867.2          0.43334    0.00673   -0.05920   -0.05114
NM_006777.3          0.49227    0.02922    0.08149    0.07466
NM_199069.1         -0.35991   -0.09088    0.15562   -0.17710
NM_015907.2          0.16282   -0.00628   -0.03976    0.02589
NM_002642.3          0.01314    0.30048   -0.04911   -0.24395
NM_019069.3          0.47791   -0.08544   -0.05158    0.11002
NM_007375.3          0.31361   -0.08680    0.02347   -0.04292
NM_002939.3         -0.56932    0.02052   -0.15911    0.03772
NM_203376.1          0.05822    0.04027   -0.18679   -0.02000
NM_006117.2          0.30831   -0.07074   -0.18576    0.10214
NM_014908.3         -0.31089    0.10410    0.03793    0.02376
NM_015235.2          0.26386   -0.02489    0.01167    0.00622
NM_002312.3          0.60492    0.02322    0.05955    0.04714
NM_016202.2         -0.78911   -0.23633    0.26115    0.05237
NM_207122.1         -0.04198    0.11349   -0.01191   -0.04994
NM_207040.1          0.36447    0.03025    0.00890    0.03856
NM_004436.2         -0.03714   -0.27617   -0.17105    0.20250
NM_032815.3         -0.25365    0.02258   -0.05415   -0.15970
NM_002730.3         -0.42572    0.04992   -0.03693    0.01820
NM_003150.3         -0.13996    0.02654   -0.10450   -0.09818
NM_007008.2          0.24298    0.01428   -0.04300    0.16500
NM_016607.3          0.34571    0.07549   -0.07988    0.08364
NM_022768.4          0.01421    0.07962    0.07046   -0.08174
