Gene_description Len_aa Len_sym GC GC3s GCn3s GC1 GC2 GC3 T1 T2 T3 C1 C2 C3 A1 A2 A3 G1 G2 G3
NM_002873.1 670 648 0.392 0.287 0.442 0.485 0.381 0.310 0.206 0.279 0.336 0.209 0.209 0.139 0.309 0.340 0.354 0.276 0.172 0.172
NM_000122.1 782 752 0.511 0.604 0.467 0.537 0.377 0.619 0.179 0.266 0.208 0.206 0.216 0.324 0.284 0.357 0.173 0.331 0.161 0.295
NM_012403.1 234 231 0.484 0.532 0.461 0.645 0.269 0.538 0.128 0.231 0.184 0.179 0.103 0.252 0.226 0.500 0.278 0.466 0.167 0.286
NM_013393.1 246 241 0.568 0.631 0.537 0.602 0.463 0.638 0.138 0.285 0.203 0.276 0.211 0.293 0.260 0.252 0.159 0.325 0.252 0.346
NM_006454.2 209 207 0.648 0.841 0.552 0.684 0.416 0.842 0.091 0.234 0.077 0.330 0.182 0.421 0.225 0.349 0.081 0.354 0.234 0.421
NM_021107.1 138 133 0.652 0.797 0.584 0.645 0.507 0.804 0.123 0.246 0.152 0.370 0.239 0.428 0.232 0.246 0.043 0.275 0.268 0.377
NM_022170.1 248 243 0.535 0.486 0.559 0.605 0.504 0.496 0.149 0.198 0.230 0.202 0.198 0.335 0.246 0.298 0.274 0.403 0.306 0.161
NM_023936.1 218 206 0.670 0.864 0.580 0.670 0.468 0.872 0.124 0.239 0.046 0.353 0.234 0.408 0.206 0.294 0.083 0.317 0.234 0.463
NM_024096.1 170 165 0.622 0.648 0.609 0.706 0.500 0.659 0.141 0.229 0.188 0.306 0.276 0.359 0.153 0.271 0.153 0.400 0.224 0.300
NM_024509.1 628 615 0.696 0.816 0.638 0.720 0.549 0.820 0.124 0.264 0.111 0.365 0.336 0.471 0.156 0.186 0.068 0.355 0.213 0.349
NM_032099.1 818 809 0.534 0.592 0.505 0.588 0.417 0.597 0.182 0.292 0.213 0.244 0.247 0.322 0.230 0.291 0.191 0.344 0.170 0.275
NM_001862.2 129 123 0.602 0.626 0.591 0.628 0.535 0.643 0.140 0.217 0.171 0.233 0.287 0.326 0.233 0.248 0.186 0.395 0.248 0.318
NM_001010.2 249 244 0.473 0.443 0.487 0.546 0.418 0.454 0.108 0.233 0.309 0.249 0.193 0.209 0.345 0.349 0.237 0.297 0.225 0.245
NM_020135.2 665 647 0.616 0.740 0.556 0.626 0.475 0.747 0.131 0.223 0.146 0.257 0.260 0.376 0.244 0.302 0.107 0.368 0.215 0.371
NM_012245.2 536 516 0.461 0.378 0.500 0.576 0.405 0.401 0.123 0.196 0.297 0.224 0.222 0.157 0.300 0.399 0.302 0.353 0.183 0.244
NM_004180.2 425 418 0.416 0.328 0.460 0.513 0.398 0.339 0.167 0.238 0.311 0.238 0.256 0.167 0.320 0.365 0.351 0.275 0.141 0.172
NM_014203.2 977 953 0.617 0.827 0.516 0.621 0.398 0.831 0.133 0.300 0.115 0.291 0.242 0.448 0.246 0.302 0.054 0.331 0.157 0.383
NM_138446.1 234 222 0.524 0.500 0.535 0.624 0.423 0.526 0.158 0.295 0.252 0.239 0.231 0.218 0.218 0.282 0.222 0.385 0.192 0.308
NM_018180.2 743 715 0.432 0.415 0.440 0.515 0.343 0.437 0.209 0.308 0.303 0.211 0.197 0.218 0.276 0.349 0.260 0.304 0.147 0.219
NM_003526.2 126 123 0.590 0.813 0.482 0.508 0.444 0.817 0.143 0.206 0.127 0.198 0.302 0.429 0.349 0.349 0.056 0.310 0.143 0.389
NM_003926.5 291 276 0.654 0.928 0.528 0.629 0.402 0.931 0.096 0.234 0.038 0.268 0.220 0.412 0.275 0.364 0.031 0.361 0.182 0.519
NM_016649.3 851 821 0.372 0.305 0.404 0.485 0.302 0.329 0.153 0.210 0.311 0.126 0.173 0.118 0.362 0.488 0.360 0.360 0.129 0.212
NM_015956.2 311 297 0.652 0.795 0.585 0.678 0.473 0.804 0.116 0.264 0.100 0.357 0.260 0.412 0.206 0.264 0.096 0.322 0.212 0.392
