title T3s C3s A3s G3s CAI CBI Fop Nc GC3s GC L_sym L_aa Gravy Aromo 
NM_002873.1 0.4319 0.1785 0.4693 0.2000 0.107 -0.014 0.387 48.84 0.287 0.392 648 670 -0.473433 0.080597 
NM_000122.1 0.2758 0.4281 0.2300 0.3668 0.112 0.075 0.451 53.66 0.604 0.511 752 782 -0.509207 0.090793 
NM_012403.1 0.2687 0.3688 0.3652 0.3721 0.087 -0.043 0.377 57.99 0.532 0.484 231 234 -1.055983 0.051282 
NM_013393.1 0.2415 0.3478 0.2000 0.4278 0.055 -0.055 0.336 48.40 0.631 0.568 241 246 -0.209350 0.073171 
NM_006454.2 0.0976 0.5366 0.0994 0.5150 0.041 -0.124 0.285 34.37 0.841 0.648 207 209 -0.819617 0.043062 
NM_021107.1 0.1892 0.5315 0.0536 0.4273 0.059 0.041 0.391 39.97 0.797 0.652 133 138 -0.430435 0.036232 
NM_022170.1 0.2727 0.3971 0.3636 0.1923 0.089 0.042 0.391 56.60 0.486 0.535 243 248 -1.008871 0.088710 
NM_023936.1 0.0592 0.5266 0.1040 0.5329 0.034 -0.081 0.306 39.01 0.864 0.670 206 218 -0.767431 0.087156 
NM_024096.1 0.2302 0.4388 0.1884 0.3485 0.057 -0.040 0.333 51.05 0.648 0.622 165 170 -0.462353 0.064706 
NM_024509.1 0.1230 0.5202 0.0841 0.4170 0.043 -0.080 0.286 35.73 0.816 0.696 615 628 0.032643 0.046178 
NM_032099.1 0.2525 0.3817 0.2422 0.3541 0.080 0.017 0.394 56.01 0.592 0.534 809 818 -0.122861 0.074572 
NM_001862.2 0.2115 0.4038 0.2286 0.3465 0.056 0.006 0.358 48.97 0.626 0.602 123 129 -0.297674 0.038760 
NM_001010.2 0.4254 0.2873 0.2770 0.2759 0.133 0.168 0.484 51.18 0.443 0.473 244 249 -0.945381 0.040161 
NM_020135.2 0.1783 0.4596 0.1371 0.4645 0.054 -0.066 0.331 45.71 0.740 0.616 647 665 -0.472782 0.058647 
NM_012245.2 0.4173 0.2205 0.3830 0.2782 0.114 0.043 0.417 54.32 0.378 0.461 516 536 -1.145709 0.059701 
NM_004180.2 0.4000 0.2152 0.4642 0.2207 0.101 -0.013 0.397 47.99 0.328 0.416 418 425 -0.718588 0.058824 
NM_014203.2 0.1409 0.5509 0.0698 0.4909 0.065 -0.020 0.371 37.59 0.827 0.617 953 977 -0.089969 0.071648 
NM_138446.1 0.3138 0.2713 0.2938 0.3593 0.073 -0.047 0.356 61.00 0.500 0.524 222 234 -0.196581 0.068376 
NM_018180.2 0.3920 0.2822 0.3554 0.2722 0.133 0.083 0.459 50.90 0.415 0.432 715 743 -0.189502 0.087483 
NM_003526.2 0.1720 0.5806 0.0654 0.4554 0.097 0.081 0.447 33.68 0.813 0.590 123 126 -0.738095 0.055556 
NM_003926.5 0.0529 0.5769 0.0398 0.6182 0.046 -0.076 0.341 33.03 0.928 0.654 276 291 -0.791409 0.054983 
NM_016649.3 0.4845 0.1828 0.4759 0.2496 0.160 0.016 0.437 49.80 0.305 0.372 821 851 -1.226439 0.062280 
NM_015956.2 0.1225 0.5059 0.1200 0.4426 0.048 -0.020 0.343 41.67 0.795 0.652 297 311 -0.372990 0.080386 
NM_024996.5 0.4058 0.2377 0.3842 0.2405 0.105 0.021 0.413 52.24 0.367 0.440 724 751 -0.316911 0.078562 
NM_032112.2 0.1128 0.5338 0.1094 0.4711 0.049 -0.095 0.325 39.82 0.815 0.644 157 159 -0.461635 0.069182 
NM_020409.2 0.3602 0.2151 0.4490 0.2328 0.118 0.046 0.397 53.34 0.351 0.425 239 250 -0.620400 0.088000 
NM_016086.2 0.3095 0.4444 0.2136 0.3333 0.116 0.015 0.421 52.93 0.586 0.485 302 313 -0.225559 0.089457 
NM_182523.1 0.4000 0.2571 0.5000 0.2133 0.150 0.089 0.465 46.29 0.337 0.390 101 106 -0.797170 0.066038 
NM_002592.2 0.3054 0.3547 0.3418 0.2692 0.092 -0.006 0.400 59.71 0.484 0.465 250 261 -0.094636 0.061303 
NM_007013.3 0.4401 0.1783 0.4576 0.1988 0.131 0.062 0.438 48.11 0.290 0.405 886 922 -0.660087 0.095445 
NM_145265.2 0.3261 0.3207 0.3153 0.3231 0.107 0.116 0.447 56.48 0.496 0.485 246 260 -0.723462 0.088462 
NM_145914.2 0.2743 0.4071 0.2705 0.3711 0.082 -0.020 0.386 51.41 0.584 0.529 461 473 -0.936998 0.065539 
NM_058167.2 0.2476 0.4095 0.1900 0.4064 0.069 -0.036 0.369 51.30 0.643 0.538 252 259 -0.199228 0.096525 
NM_003422.2 0.1649 0.5275 0.1137 0.4266 0.041 -0.134 0.276 41.19 0.773 0.674 721 734 -0.808447 0.057221 
NM_002513.2 0.0935 0.5540 0.0455 0.5323 0.046 -0.078 0.321 33.31 0.883 0.669 162 169 0.023669 0.094675 
