GenBankNucleotideAccession	GeneID
NM_000993	6160
NM_000996	6165
NM_001039613	285148
NM_001040436	51067
NM_001085481	643246
NM_001114118	55421
NM_001143909	729020
NM_001199535	100527943
NM_001199816	79017
NM_001202547	100529257
NM_001206682	11016
NM_001258388	134145
NM_001293	1207
NM_001689	518
NM_001833	1211
NM_001984	2098
NM_002138	3184
NM_002574	5052
NM_002623	5203
NM_002882	5902
NM_003344	7328
NM_003347	7332
NM_003348	7334
NM_003795	8724
NM_004182	8409
NM_004232	9306
NM_004589	6341
NM_005389	5110
NM_005644	6883
NM_005776	10175
NM_006016	8763
NM_006191	5036
NM_006754	6856
NM_006827	10972
NM_006930	6500
NM_007042	11102
NM_012170	26263
NM_012399	23760
NM_014161	29074
NM_014165	29078
NM_014180	29093
NM_014184	29097
NM_014248	9978
NM_014268	10982
NM_014280	22826
NM_014473	27292
NM_015969	51373
NM_015972	51082
NM_016037	51118
NM_016038	51119
NM_016070	51649
NM_016100	51126
NM_016142	51144
NM_016391	51491
NM_016468	51241
NM_016494	51255
NM_016504	51264
NM_017444	54108
NM_017832	54942
NM_018339	55312
NM_018373	55333
NM_018464	55847
NM_018838	55967
NM_020696	57456
NM_022100	63931
NM_022717	11066
NM_024097	79078
NM_024653	79706
NM_030579	80777
NM_031903	64983
NM_031940	83877
NM_032231	84191
NM_032374	84334
NM_032476	64968
NM_032796	94056
NM_032937	85026
NM_052965	116461
NM_053053	117143
NM_138423	113201
NM_138446	115416
NM_144636	131474
NM_145165	91612
NM_145266	134492
NM_152318	121053
NM_153331	200845
NM_173607	283635
NM_181836	51014
NM_203288	6100
NM_203298	118487
