label Axis1 Axis2 Axis3 Axis4 
1_NM_002873.1 0.537113 -0.090568 -0.044164 -0.045503
2_NM_000122.1 -0.125023 0.038296 -0.070983 0.014397
3_NM_012403.1 0.092508 -0.081481 -0.094183 -0.123446
4_NM_013393.1 -0.128361 0.023676 -0.193608 -0.038372
5_NM_006454.2 -0.660394 -0.145705 0.063287 0.085272
6_NM_021107.1 -0.518279 0.131447 0.094642 0.041982
7_NM_022170.1 0.143659 -0.078114 -0.005828 0.060679
8_NM_023936.1 -0.682640 -0.274433 0.104655 -0.018456
9_NM_024096.1 -0.252709 0.109435 0.099801 -0.015510
10_NM_024509.1 -0.665521 -0.013833 0.154669 0.115107
11_NM_032099.1 -0.096071 -0.048646 0.106329 0.008684
12_NM_001862.2 -0.153060 -0.065795 -0.029328 0.196071
13_NM_001010.2 0.170982 0.213301 0.134562 0.199472
14_NM_020135.2 -0.371300 -0.175579 -0.008504 -0.052326
15_NM_012245.2 0.399452 0.051140 -0.001632 -0.085365
16_NM_004180.2 0.505901 -0.150740 -0.020787 0.043877
17_NM_014203.2 -0.626428 0.015792 0.068216 -0.047776
18_NM_138446.1 0.058760 -0.122792 0.171854 -0.054678
19_NM_018180.2 0.302306 -0.049317 -0.012290 0.091675
20_NM_003526.2 -0.618734 -0.054551 0.328473 0.309869
21_NM_003926.5 -0.810220 -0.357239 0.092913 0.093418
22_NM_016649.3 0.530791 -0.073385 0.000435 -0.034310
23_NM_015956.2 -0.470315 -0.017967 0.017402 -0.144319
24_NM_024996.5 0.377649 0.023162 -0.006341 -0.015719
25_NM_032112.2 -0.598182 -0.222024 0.277963 0.129469
26_NM_020409.2 0.440735 -0.059463 -0.067688 0.022935
27_NM_016086.2 -0.158298 0.067900 0.007317 0.034510
28_NM_182523.1 0.503246 -0.112151 -0.162463 0.059501
29_NM_002592.2 0.067717 0.016723 0.120278 0.103440
30_NM_007013.3 0.574388 -0.073812 0.089560 0.066973
31_NM_145265.2 0.162030 0.036504 -0.065858 0.063358
32_NM_145914.2 -0.035036 0.025637 -0.155659 0.028894
33_NM_058167.2 -0.164287 -0.246815 -0.199050 -0.048477
34_NM_003422.2 -0.517733 0.007721 0.076047 0.078851
35_NM_002513.2 -0.781811 -0.221049 0.274207 0.105091
36_NM_015918.3 -0.034015 0.007524 -0.084063 0.051056
37_NM_003091.3 0.012113 0.150078 -0.118938 0.007046
38_NM_170607.2 -0.333955 0.032012 -0.129727 0.005589
39_NM_015966.2 -0.305834 0.045547 -0.030542 -0.088517
40_NM_004804.2 -0.274714 0.129208 0.174333 0.041269
41_NM_002869.4 0.256019 -0.053637 0.030255 0.060483
42_NM_004214.4 -0.520193 -0.065690 0.020064 -0.008106
43_NM_031953.2 0.271746 -0.109878 -0.107612 0.024945
44_NM_006402.2 -0.059169 0.034937 0.426403 0.147426
45_NM_018128.4 0.198288 0.036230 -0.011664 -0.013748
46_NM_001130.5 -0.439599 -0.007194 -0.092844 0.095997
47_NM_018366.2 -0.704292 -0.264239 0.010282 0.068437
48_NM_004637.5 -0.063166 -0.026475 -0.204198 -0.072010
49_NM_080867.2 0.433341 0.006726 -0.059202 -0.051141
50_NM_006777.3 0.492269 0.029220 0.081492 0.074657
51_NM_199069.1 -0.359912 -0.090883 0.155615 -0.177101
52_NM_015907.2 0.162822 -0.006280 -0.039764 0.025885
53_NM_002642.3 0.013143 0.300481 -0.049105 -0.243950
54_NM_019069.3 0.477912 -0.085438 -0.051582 0.110019
55_NM_007375.3 0.313612 -0.086799 0.023474 -0.042920
56_NM_002939.3 -0.569321 0.020520 -0.159109 0.037722
57_NM_203376.1 0.058224 0.040267 -0.186786 -0.019996
58_NM_006117.2 0.308313 -0.070736 -0.185764 0.102137
59_NM_014908.3 -0.310886 0.104100 0.037926 0.023760
60_NM_015235.2 0.263860 -0.024889 0.011666 0.006215
61_NM_002312.3 0.604922 0.023220 0.059550 0.047141
62_NM_016202.2 -0.789114 -0.236333 0.261152 0.052365
63_NM_207122.1 -0.041980 0.113487 -0.011906 -0.049938
64_NM_207040.1 0.364475 0.030252 0.008895 0.038559
65_NM_004436.2 -0.037140 -0.276165 -0.171052 0.202503
66_NM_032815.3 -0.253649 0.022575 -0.054152 -0.159701
67_NM_002730.3 -0.425721 0.049920 -0.036931 0.018198
68_NM_003150.3 -0.139960 0.026539 -0.104498 -0.098183
69_NM_007008.2 0.242977 0.014281 -0.042999 0.165001
70_NM_016607.3 0.345711 0.075493 -0.079882 0.083638
71_NM_022768.4 0.014214 0.079622 0.070456 -0.081741
72_NM_006759.3 0.392898 -0.021347 0.012559 0.072290
73_NM_000454.4 0.193409 0.126469 0.091755 0.165053
74_NM_012300.2 0.163987 0.060179 0.005497 0.009534
75_NM_006936.2 -0.431959 -0.169663 -0.420752 0.184251
76_NM_001001795.1 -0.796453 -0.312241 0.252590 0.076299
77_NM_138417.2 -0.351765 -0.060605 0.195767 -0.012679
78_NM_016099.2 0.088334 -0.055089 0.064481 -0.174767
79_NM_006545.4 -0.409299 0.150216 -0.070352 -0.031744
80_NM_022060.2 -0.182887 0.127774 0.012519 0.003367
81_NM_016028.4 0.424751 -0.079304 -0.062413 -0.000958
82_NM_003678.4 -0.174499 0.059613 -0.112203 -0.024518
83_NM_017829.5 -0.366265 0.051970 -0.196602 -0.061108
84_NM_024072.3 -0.565258 -0.014005 0.028704 -0.022100
85_NM_004634.2 -0.328432 0.137016 0.013579 0.016834
86_NM_019103.2 -0.379507 0.156772 -0.260056 0.091597
87_NM_014628.2 -0.137699 0.031604 0.061294 -0.099001
88_NM_032431.2 -0.393737 0.207413 0.040325 0.143329
89_NM_001499.2 -0.092089 0.128348 -0.034626 0.026601
90_NM_002138.3 0.183749 -0.265996 0.099909 -0.090812
91_NM_001685.4 0.303463 0.119331 -0.252975 -0.024987
92_NM_080476.4 -0.091882 0.080037 -0.043072 -0.124110
93_NM_006805.3 -0.492336 0.003687 0.181034 -0.061604
94_NM_002105.2 -0.886394 -0.297832 0.494821 0.103717
95_NM_006986.3 0.024974 0.148454 0.010830 0.146133
96_NM_001533.2 -0.275150 0.037507 -0.039785 -0.066714
97_NM_017838.3 -0.328511 0.042424 0.162256 0.001569
98_NM_016496.4 -0.523397 -0.005658 -0.018180 -0.081217
99_NM_005112.4 -0.415918 -0.099768 -0.182027 0.046211
100_NM_004435.2 -0.722594 -0.176973 0.171251 -0.000578
101_NM_003400.3 0.569265 -0.040790 0.005694 0.043950
102_NM_018412.3 0.199907 -0.022633 -0.085179 -0.044631
103_NM_003352.4 0.520898 -0.043957 -0.220431 0.088762
104_NM_001007068.1 0.443085 0.114308 0.022610 0.026912
105_NM_006842.2 -0.095814 0.158977 0.096866 -0.167683
106_NM_020946.1 -0.238639 -0.010343 -0.131013 0.019846
107_NM_033089.6 -0.685917 -0.220727 -0.030078 -0.070435
108_NM_018321.3 0.440343 -0.038691 -0.002916 -0.040049
109_NM_004871.2 0.323651 -0.009263 -0.070489 -0.136163
110_NM_000994.3 -0.281306 0.111731 -0.161637 0.158602
111_NM_024707.2 -0.202764 0.189976 0.051498 -0.081535
112_NM_014955.2 -0.211354 0.079016 -0.101493 -0.115085
113_NM_004499.3 -0.108317 -0.048986 0.144979 -0.180039
114_NM_003563.3 0.001155 0.093602 0.071397 0.014097
115_NM_004586.2 0.535819 0.009705 0.103126 -0.061819
116_NM_024100.3 -0.693598 -0.153396 0.008658 0.100757
117_NM_017836.3 -0.222864 0.052169 -0.213426 -0.118385
118_NM_014170.2 0.127507 -0.193452 0.016321 -0.109725
119_NM_003663.3 0.274288 0.205638 0.065696 0.068856
120_NM_007157.3 -0.286171 -0.120257 -0.015289 0.024325
121_NM_030573.2 -0.380330 0.044151 -0.090042 0.020423
122_NM_024117.3 0.129728 -0.020986 -0.006685 -0.011449
123_NM_021184.3 -0.169356 0.099849 -0.121435 0.023275
124_NM_000837.1 -0.544309 0.154454 0.051995 -0.002584
125_NM_005962.4 0.012338 0.075868 0.063210 -0.152996
126_NM_006570.4 -0.368361 -0.006107 0.058644 0.017901
127_NM_014145.4 -0.199947 0.267055 0.051964 0.155742
128_NM_022149.4 -0.258862 -0.101766 -0.082886 -0.054009
129_NM_000455.4 -0.662580 -0.173392 0.001059 -0.070164
130_NM_177401.4 -0.676711 -0.070449 0.057776 0.018691
131_NM_017797.3 -0.722147 -0.165422 0.165647 0.068536
132_NM_001206.2 -0.461062 -0.045458 -0.001911 -0.070422
133_NM_007279.2 -0.515914 0.031582 -0.007468 0.013156
134_NM_138457.2 -0.515537 0.016811 -0.165360 0.037054
135_NM_001921.2 0.066228 -0.173832 -0.159453 -0.067811
136_NM_001328.2 -0.608659 -0.064556 -0.011974 -0.054943
137_NM_031216.3 0.413919 0.073343 -0.005947 -0.075682
138_NM_001013663.1 -0.207976 -0.036265 0.138036 -0.168613
139_NM_032804.5 -0.769519 -0.095990 0.062737 -0.094788
140_NM_004356.3 -0.707744 0.037911 0.056361 0.016178
141_NM_005163.2 -0.618205 0.079098 0.039622 0.141718
142_NM_002906.3 0.518756 0.108760 0.126166 0.046553
