GenBankNucleotideAccession	EnsemblGeneID
NM_000108	ENSG00000091140	
NM_000255	ENSG00000146085	
NM_001068	ENSG00000077097	
NM_001077701	ENSG00000198160	
NM_001128144	ENSG00000064933	
NM_001146160	ENSG00000147687	
NM_001173	ENSG00000100852	
NM_001202485	ENSG00000270757	
NM_001271649	ENSG00000197008	
NM_001527	ENSG00000196591	
NM_002041	ENSG00000104064	
NM_002137	ENSG00000122566	
NM_002139	ENSG00000147274	
NM_002312	ENSG00000174405	
NM_002485	ENSG00000104320	
NM_002786	ENSG00000129084	
NM_002788	ENSG00000100567	
NM_002873;	ENSG00000276618	
NM_002873;	ENSG00000152942
NM_002940	ENSG00000164163	
NM_003136	ENSG00000100883	
NM_003142	ENSG00000138385	
NM_003350	ENSG00000169139	
NM_003400	ENSG00000082898	
NM_003457	ENSG00000010244	
NM_003478	ENSG00000166266	
NM_003666	ENSG00000117475	
NM_003677	ENSG00000139726	
NM_003902	ENSG00000162613	
NM_004136	ENSG00000136381	
NM_004162	ENSG00000144566	
NM_004242	ENSG00000118418	
NM_004719	ENSG00000139218	
NM_004849	ENSG00000057663	
NM_004896	ENSG00000122958	
NM_005121	ENSG00000108510	
NM_005645	ENSG00000197780	
NM_005751	ENSG00000127914	
NM_005848	ENSG00000174485	
NM_005930	ENSG00000150527	
NM_006070	ENSG00000114354	
NM_006134;	ENSG00000263160
NM_006134;	ENSG00000142188	
NM_006166	ENSG00000120837	
NM_006197	ENSG00000078674	
NM_006267	ENSG00000153201	
NM_006585	ENSG00000156261	
NM_006601	ENSG00000110958	
NM_006838	ENSG00000111142	
NM_007007	ENSG00000111605	
NM_007013	ENSG00000123124	
NM_007178	ENSG00000023734	
NM_007187	ENSG00000120688	
NM_007222	ENSG00000165156	
NM_007276	ENSG00000122565	
NM_013254	ENSG00000183735	
NM_014043	ENSG00000083937	
NM_014050	ENSG00000198015	
NM_014078	ENSG00000172172	
NM_014106	ENSG00000198146	
NM_014377	ENSG00000105821	
NM_014497	ENSG00000075292	
NM_014781	ENSG00000023287	
NM_014803	ENSG00000177853	
NM_014887	ENSG00000244754	
NM_015017	ENSG00000077254	
NM_015054	ENSG00000111647	
NM_015384	ENSG00000164190	
NM_015525;	ENSG00000283068
NM_015525;	ENSG00000005700	
NM_015571	ENSG00000112701	
NM_015723	ENSG00000135241	
NM_015885	ENSG00000165494	
NM_016106	ENSG00000092108	
NM_016133	ENSG00000125629	
NM_016218	ENSG00000122008	
NM_016299;	ENSG00000187522
NM_016299;	ENSG00000284024	
NM_016489	ENSG00000122643	
NM_016570	ENSG00000087502	
NM_017661;	ENSG00000137871
NM_017661;	ENSG00000285253	
NM_017824	ENSG00000198060	
NM_017830	ENSG00000109180	
NM_017892	ENSG00000196504	
NM_018179	ENSG00000171681	
NM_018293	ENSG00000175105	
NM_018299	ENSG00000104343	
NM_018981	ENSG00000077232	
NM_019048	ENSG00000138381	
NM_019054	ENSG00000122376	
NM_020156	ENSG00000106392	
NM_020234	ENSG00000104047	
NM_020931	ENSG00000168116	
NM_021249	ENSG00000129515	
NM_022347	ENSG00000169905	
NM_022826	ENSG00000136536	
NM_024116	ENSG00000166012	
NM_024511	ENSG00000214367	
NM_024583	ENSG00000144306	
NM_024604	ENSG00000005175	
NM_024611	ENSG00000128915	
NM_024945	ENSG00000178966	
NM_025133	ENSG00000138081	
NM_030650	ENSG00000144320	
NM_030794	ENSG00000083544	
NM_033109	ENSG00000138035	
NM_080666	ENSG00000140006	
NM_144578	ENSG00000168175	
NM_145111	ENSG00000221909	
NM_145246	ENSG00000148690	
NM_152316	ENSG00000152219	
NM_182529	ENSG00000177683	
NM_198066	ENSG00000100522	
NM_198273	ENSG00000176018	
