GenBankNucleotideAccession	GeneID
NM_001001795	414919
NM_001002836	126208
NM_001010858	149603
NM_001029885	80772
NM_001042371	283871
NM_001085365	653784
NM_001145783	729991
NM_001195605	100507290
NM_001694	527
NM_002105	3014
NM_002415	4282
NM_002513	4832
NM_003132	6723
NM_003526	8347
NM_003926	53615
NM_004040	388
NM_004146	4713
NM_004218	9230
NM_004242	9324
NM_004309	396
NM_004807	9394
NM_004928	755
NM_005354	3727
NM_005481	10025
NM_005859	5813
NM_005861	10273
NM_005934	4298
NM_006026	8971
NM_006221	5300
NM_006428	10573
NM_006454	10608
NM_006936	6612
NM_007065	11140
NM_012135	26240
NM_015898	51341
NM_016068	51024
NM_018049	55111
NM_018337	55311
NM_018641	55501
NM_018955	7314
NM_018998	54461
NM_019009	54472
NM_019594	56262
NM_020170	56926
NM_021168	57799
NM_024042	79006
NM_024069	79036
NM_024301	79147
NM_024731	79786
NM_025029	80097
NM_025078	80148
NM_025124	80194
NM_025136	80207
NM_025241	80700
NM_030811	64949
NM_031213	81926
NM_031304	83475
NM_032477	64975
NM_032804	84890
NM_032836	84922
NM_032862	84948
NM_033224	5814
NM_033296	93621
NM_033420	91304
NM_033513	91978
NM_052876	112939
NM_080605	126792
NM_138501	9524
NM_144564	29985
NM_144653	138151
NM_152833	90120
NM_174894	126003
NM_174983	126321
NM_194326	91582
NM_198217	3621
NM_198318	3276
NM_212550	388552
